fila,codigo_a,item_b,codigo_a_norm,item_b_norm,clave_match,tipo_fila,tipo_ENE,tipo_FEB,formula_ENE,formula_FEB,codigo_a_repetido,codigo_a_repeticiones
30,,Responsabilidad Civil y Extracontractual,,RESPONSABILIDAD CIVIL Y EXTRACONTRACTUAL,30||RESPONSABILIDAD CIVIL Y EXTRACONTRACTUAL,detalle_sin_codigo_o_titulo,blank,blank,,,,
31,,OTROS - Funerarios,,OTROS - FUNERARIOS,31||OTROS - FUNERARIOS,detalle_sin_codigo_o_titulo,blank,formula,,='[10]Hoja 1'!$C$95,,
32,,SERVICIOS,,SERVICIOS,32||SERVICIOS,subtotal_o_total,formula,formula,=SUM(C33:C45),=SUM(D33:D45),,
33,,Aseo y Vigilancia,,ASEO Y VIGILANCIA,33||ASEO Y VIGILANCIA,detalle_sin_codigo_o_titulo,formula,formula,='[12]Hoja 1'!$G$22,='[13]Hoja 1'!$G$23,,
34,51351001 - 51351004,Temporales,51351001 - 51351004,TEMPORALES,34|51351001 - 51351004|TEMPORALES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$97,='[10]Hoja 1'!$C$99,NO,1
35,,Comunicaciones,,COMUNICACIONES,35||COMUNICACIONES,detalle_sin_codigo_o_titulo,blank,blank,,,,
36,51351502,Laboratorio,51351502,LABORATORIO,36|51351502|LABORATORIO,detalle_con_codigo,blank,formula,,='[10]Hoja 1'!C103,NO,1
37,51351503,Fumigacion,51351503,FUMIGACION,37|51351503|FUMIGACION,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$99,='[10]Hoja 1'!C104,NO,1
38,51352501,Acueducto y Alcantarillado,51352501,ACUEDUCTO Y ALCANTARILLADO,38|51352501|ACUEDUCTO Y ALCANTARILLADO,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$101,='[10]Hoja 1'!$C$106,NO,1
39,51353001,Energía Electrica,51353001,ENERGIA ELECTRICA,39|51353001|ENERGIA ELECTRICA,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$103,='[10]Hoja 1'!$C$108,NO,1
40,51353501,Telefono,51353501,TELEFONO,40|51353501|TELEFONO,detalle_con_codigo,formula,formula,='[9]Hoja 1'!C105,='[10]Hoja 1'!C110-98250,NO,1
41,51353502,Internet,51353502,INTERNET,41|51353502|INTERNET,detalle_con_codigo,formula,formula,='[9]Hoja 1'!C106,='[10]Hoja 1'!C111,NO,1
42,51354001,"Correo, Portes, telegramas",51354001,"CORREO, PORTES, TELEGRAMAS","42|51354001|CORREO, PORTES, TELEGRAMAS",detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$108,='[10]Hoja 1'!$C$113,NO,1
