fila_principal;codigo_a;item_b;referencia_feb;archivo_feb;hoja;celda_feb;fila_celda_feb;columna_celda_feb;valor_celda_feb;codigo_en_misma_fila;codigos_detectados_en_fila;filas_detectadas_codigo_en_hoja;estado
42;51354001;Correo, Portes, telegramas;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$113;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$113;113;3;37400.0;SI;51354001;51354001:113;ok
43;51355001;Transporte, fletes y acarreos;[51355001_CHVS_FEB_2026.xls]Hoja 1!$G$11;51355001_CHVS_FEB_2026.xls;Hoja 1;$G$11;11;7;404040.0;NO;;51355001:9;ok
45;51356501;Servicio Web-Hosting-Nube- Licencias Siesa y planeacion;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$117;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$117;117;3;5741346.0;SI;51356501;51356501:117;ok
45;51356501;Servicio Web-Hosting-Nube- Licencias Siesa y planeacion;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$312;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$312;312;3;100000.0;NO;;51356501:117;ok
45;51356501;Servicio Web-Hosting-Nube- Licencias Siesa y planeacion;[ESTADO DE RESULTADOS_UTALIM YUMBO_FEB_2026.xls]Hoja 1!$C$92;ESTADO DE RESULTADOS_UTALIM YUMBO_FEB_2026.xls;Hoja 1;$C$92;92;3;959180.0;NO;;;ok
45;51356501;Servicio Web-Hosting-Nube- Licencias Siesa y planeacion;[ESTADO DE RESULTADOS_UT ALIM BUGA 2026_2026.xls]Hoja 1!$C$89;ESTADO DE RESULTADOS_UT ALIM BUGA 2026_2026.xls;Hoja 1;$C$89;89;3;959180.0;NO;;;ok
45;51356501;Servicio Web-Hosting-Nube- Licencias Siesa y planeacion;[ESTADO DE RESULTADOS_CONS ALIM CALI 2026_2026.xls]Hoja 1!$C$97;ESTADO DE RESULTADOS_CONS ALIM CALI 2026_2026.xls;Hoja 1;$C$97;97;3;959180.0;NO;;;ok
51;514095;Certificados Camara Comercio , proponentes y tradicion, JCC;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$121;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$121;121;3;183400.0;SI;514095;514095:121 | 514095:122 | 514095:123;ok
53;51451001;Construcciones y Edificaciones;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$126;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$126;126;3;1894710.0;SI;51451001;51451001:126;ok
54;51451501;Maquinaria y Equipo;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$128;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$128;128;3;2062464.0;SI;51451501;51451501:128;ok
54;51451501;Maquinaria y Equipo;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$129;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$129;129;3;370000.0;NO;;51451501:128;ok
67;51951001;Libros, suscripciones, period;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$135;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$135;135;3;1900000.0;SI;51951001;51951001:135;ok
69;51952501;Elementos de Aseo y Cafeteria;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$137;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$137;137;3;90000.0;SI;51952501;51952501:137;ok
70;51953001;Papeleria;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$139;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$139;139;3;15441534.0;SI;51953001;51953001:139;ok
73;51954001 - '71100501;Envases y Empaques;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$143;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$143;143;3;1273497.0;SI;51954001;51954001:143 | 71100501:304;ok
74;51954501;Taxis y Buses;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$145;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$145;145;3;679316.0;SI;51954501;51954501:145;ok
75;51956001;Casino y Restaurante (Refrigerios);[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$147;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$147;147;3;2961768.68;SI;51956001;51956001:147 | 51956001:254;ok
76;51956501;Parqueaderos;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$150;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$150;150;3;27100.0;SI;51956501;51956501:150;ok
77;51956601;Peajes;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$152;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$152;152;3;2470200.0;SI;51956601;51956601:152;ok
78;51959501;Otros;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$154;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$154;154;3;508300.0;SI;51959501;51959501:154;ok
79;51959502;Compra Equipos de Oficina;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$155;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$155;155;3;319799.0;SI;51959502;51959502:155;ok
80;51959503;Compra Suministros;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$156;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$156;156;3;800000.0;SI;51959503;51959503:156;ok
81;51959510;Herramientas y articulos ferreteria;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$159;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$159;159;3;4623150.0;SI;51959510;51959510:159;ok
82;51959512;Reuniones Fiestas y Detalles;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$160;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$160;160;3;10566388.0;SI;51959512;51959512:160;ok
83;51959514;Equipos de Bodega;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$161;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$161;161;3;5834000.0;SI;51959514;51959514:161;ok
84;51959515;Compra Equipos de computo y comunicación;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$162;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$162;162;3;34962540.0;SI;51959515;51959515:162;ok
85;51959504;Cuota de Apoyo y Sostenimiento (SENA);[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$157;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$157;157;3;3939537.0;SI;51959504;51959504:157 | 51959504:410;ok
87;51959518;Compra Mercado IVH;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$164;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$164;164;3;1751694.0;SI;51959518;51959518:164;ok
88;51959517;Convenios medicos - EMI;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$163;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$163;163;3;643578.0;SI;51959517;51959517:163;ok
94;51956002;Donaciones;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$148;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$148;148;3;9270040.67;SI;51956002;51956002:148;ok
95;53954001;Ajuste al peso;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$186;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$186;186;3;26.95;SI;53954001;53954001:186;ok
99;530505;Gastos Bancarios;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$167;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$167;167;3;721868.2;SI;530505;530505:167 | 530505:168 | 530505:169;ok
100;530515;Comisiones;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$170;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$170;170;3;2541356.16;SI;530515;530515:170 | 530515:171 | 530515:172 | 530515:173;ok
101;53052001;Intereses Corrientes Obligaciones;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$175;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$175;175;3;2367762.52;SI;53052001;53052001:175;ok
104;53052004;Intereses corrientes Leasing;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$176;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$176;176;3;3769285.0;SI;53052004;53052004:176;ok
106;51159502;Gravámen a Movimientos Financieros;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$81;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$81;81;3;23996392.41;SI;51159502;51159502:81;ok
106;51159502;Gravámen a Movimientos Financieros;[ESTADO DE RESULTADOS_CHVS_FEB_2026.xls]Hoja 1!$C$180;ESTADO DE RESULTADOS_CHVS_FEB_2026.xls;Hoja 1;$C$180;180;3;171828.0;NO;;51159502:81;ok
